date,key,value,group
2010,celtic,0,band
2011,celtic,0,band
2012,celtic,0,band
2013,celtic,0,band
2014,celtic,0,band
1988,classic rock,1,band
1989,classic rock,1,band
1990,classic rock,0,band
1991,classic rock,0,band
1992,classic rock,1,band
1993,classic rock,0,band
1994,classic rock,0,band
1995,classic rock,0,band
1996,classic rock,0,band
1997,classic rock,0,band
1998,classic rock,0,band
1999,classic rock,0,band
2000,classic rock,0.5,band
2001,classic rock,0,band
2002,classic rock,0,band
2003,classic rock,0,band
2004,classic rock,0,band
2005,classic rock,0,band
2006,classic rock,0,band
2007,classic rock,0,band
2008,classic rock,0,band
2009,classic rock,0,band
2010,classic rock,0,band
2011,classic rock,0,band
2012,classic rock,0,band
2013,classic rock,0,band
2014,classic rock,0,band
1988,country,2,band
1989,country,2,band
1990,country,0,band
1991,country,1,band
1992,country,5,band
1993,country,0,band
1994,country,0,band
1995,country,0,band
1996,country,1,band
1997,country,2.5,band
1998,country,1.5,band
1999,country,2,band
2000,country,1.5,band
2001,country,1.5,band
2002,country,2.5,band
2003,country,3.5,band
2004,country,1,band
2005,country,1.5,band
2006,country,1,band
2007,country,0.5,band
2008,country,1.5,band
2009,country,2,band
2010,country,2.5,band
2011,country,0,band
2012,country,1,band
2013,country,2,band
2014,country,1,band
1988,doo-wop,0,band
1989,doo-wop,0,band
1990,doo-wop,0,band
1991,doo-wop,0,band
1992,doo-wop,0,band
1993,doo-wop,0,band
1994,doo-wop,0,band
1995,doo-wop,0,band
1996,doo-wop,0,band
1997,doo-wop,0,band
1998,doo-wop,0,band
1999,doo-wop,0,band
2000,doo-wop,0,band
2001,doo-wop,0,band
2002,doo-wop,0,band
2003,doo-wop,0,band
2004,doo-wop,0,band
2005,doo-wop,0,band
2006,doo-wop,0,band
2007,doo-wop,0,band
2008,doo-wop,0,band
2009,doo-wop,0,band
2010,doo-wop,0,band
2011,doo-wop,0,band
2012,doo-wop,0,band
2013,doo-wop,0,band
2014,doo-wop,1,band
1988,easy listening,0,band
1989,easy listening,0,band
1990,easy listening,0,band
1991,easy listening,0,band
1992,easy listening,0,band
1993,easy listening,0,band
1994,easy listening,0,band
1995,easy listening,0,band
1996,easy listening,0,band
1997,easy listening,0.5,band
1998,easy listening,0.5,band
1999,easy listening,0,band
2000,easy listening,0,band
2001,easy listening,0,band
2002,easy listening,0,band
2003,easy listening,0,band
2004,easy listening,0,band
2005,easy listening,0,band
2006,easy listening,0,band
2007,easy listening,0,band
2008,easy listening,0,band
2009,easy listening,0,band
2010,easy listening,0,band
2011,easy listening,0,band
2012,easy listening,0,band
2013,easy listening,0,band
2014,easy listening,0,band
1988,emo,0,band
1989,emo,0,band
1990,emo,0,band
1991,emo,0,band
1992,emo,0,band
1993,emo,0,band
1994,emo,0,band
1995,emo,0,band
1996,emo,0,band
1997,emo,0,band
1998,emo,0.5,band
1999,emo,0,band
2000,emo,0,band
2001,emo,0,band
2002,emo,0,band
2003,emo,0,band
2004,emo,0,band
2005,emo,0,band
2006,emo,1.5,band
2007,emo,1.5,band
2008,emo,0.5,band
2009,emo,1.5,band
2010,emo,0.5,band
2011,emo,0,band
2012,emo,0,band
2013,emo,0.5,band
2014,emo,0,band
1988,folk,0,band
1989,folk,0,band
1990,folk,0,band
1991,folk,0,band
1992,folk,1,band
1993,folk,0,band
1994,folk,1,band
1995,folk,0,band
1996,folk,2,band
1997,folk,1.5,band
1998,folk,0.5,band
1999,folk,0.5,band
2000,folk,0,band
2001,folk,0,band
2002,folk,0,band
2003,folk,0,band
2004,folk,0.5,band
2005,folk,0.5,band
2006,folk,0,band
2007,folk,1,band
2008,folk,0.5,band
2009,folk,0.5,band
2010,folk,1,band
2011,folk,0.5,band
2012,folk,3,band
2013,folk,3,band
2014,folk,4,band
1988,funk,1,band
1989,funk,1,band
1990,funk,0,band
1991,funk,0,band
1992,funk,0,band
1993,funk,0,band
1994,funk,0,band
1995,funk,1,band
1996,funk,0,band
1997,funk,0,band
1998,funk,0,band
1999,funk,0,band
2000,funk,1,band
2001,funk,0.5,band
2002,funk,0,band
2003,funk,0.5,band
2004,funk,1.5,band
2005,funk,0,band
2006,funk,0.5,band
2007,funk,0,band
2008,funk,0.5,band
2009,funk,0,band
2010,funk,0,band
2011,funk,0.5,band
2012,funk,0,band
2013,funk,0,band
2014,funk,0,band
1988,funk rock,0,band
1989,funk rock,0,band
1990,funk rock,0,band
1991,funk rock,0,band
1992,funk rock,1,band
1993,funk rock,1,band
1994,funk rock,0,band
1995,funk rock,0,band
1996,funk rock,0,band
1997,funk rock,0.5,band
1998,funk rock,0,band
1999,funk rock,0.5,band
2000,funk rock,0,band
2001,funk rock,0,band
2002,funk rock,0.5,band
2003,funk rock,0,band
2004,funk rock,0,band
2005,funk rock,0,band
2006,funk rock,0.5,band
2007,funk rock,0,band
2008,funk rock,0,band
2009,funk rock,0,band
2010,funk rock,0,band
2011,funk rock,0,band
2012,funk rock,0,band
2013,funk rock,0,band
2014,funk rock,0,band
1988,garage rock,0,band
1989,garage rock,0,band
1990,garage rock,0,band
1991,garage rock,0,band
1992,garage rock,0,band
1993,garage rock,0,band
1994,garage rock,0,band
1995,garage rock,0,band
1996,garage rock,0,band
1997,garage rock,0,band
1998,garage rock,0,band
1999,garage rock,0,band
2000,garage rock,0,band
2001,garage rock,0,band
2002,garage rock,0,band
2003,garage rock,0,band
2004,garage rock,0,band
2005,garage rock,0,band
2006,garage rock,0,band
2007,garage rock,0,band
2008,garage rock,1,band
2009,garage rock,1,band
2010,garage rock,0,band
2011,garage rock,0,band
2012,garage rock,0,band
2013,garage rock,0,band
2014,garage rock,0,band
1988,glam rock,0,band
1989,glam rock,0,band
1990,glam rock,1,band
1991,glam rock,0,band
1992,glam rock,0,band
1993,glam rock,0,band
1994,glam rock,0,band
1995,glam rock,0,band
1996,glam rock,0,band
1997,glam rock,0,band
1998,glam rock,0,band
1999,glam rock,0,band
2000,glam rock,0,band
2001,glam rock,0,band
2002,glam rock,0,band
2003,glam rock,0,band
2004,glam rock,0,band
2005,glam rock,0,band
2006,glam rock,0,band
2007,glam rock,0,band
2008,glam rock,0,band
2009,glam rock,0,band
2010,glam rock,0,band
2011,glam rock,0,band
2012,glam rock,0,band
2013,glam rock,0,band
2014,glam rock,0,band
1988,grunge,0,band
1989,grunge,0,band
1990,grunge,0,band
1991,grunge,0,band
1992,grunge,2,band
1993,grunge,0,band
1994,grunge,1,band
1995,grunge,2,band
1996,grunge,0,band
1997,grunge,2,band
1998,grunge,1,band
1999,grunge,1.5,band
2000,grunge,0,band
2001,grunge,0,band
2002,grunge,0.5,band
2003,grunge,0.5,band
2004,grunge,0,band
2005,grunge,0,band
2006,grunge,0,band
2007,grunge,1,band
2008,grunge,0,band
2009,grunge,0,band
2010,grunge,0,band
2011,grunge,0,band
2012,grunge,0,band
2013,grunge,0,band
2014,grunge,0,band
1988,hard rock,0,band
1989,hard rock,0,band
1990,hard rock,6,band
1991,hard rock,6,band
1992,hard rock,4,band
1993,hard rock,4,band
1994,hard rock,1,band
1995,hard rock,0,band
1996,hard rock,0,band
1997,hard rock,0,band
1998,hard rock,0.5,band
1999,hard rock,0.5,band
2000,hard rock,1,band
2001,hard rock,1.5,band
2002,hard rock,1,band
2003,hard rock,1.5,band
2004,hard rock,2.5,band
2005,hard rock,1,band
2006,hard rock,2,band
2007,hard rock,2,band
2008,hard rock,1.5,band
2009,hard rock,1,band
2010,hard rock,0,band
2011,hard rock,0,band
2012,hard rock,0,band
2013,hard rock,0,band
2014,hard rock,0,band
1988,hardcore,0,band
1989,hardcore,0,band
1990,hardcore,0,band
1991,hardcore,0,band
1992,hardcore,0,band
1993,hardcore,0,band
1994,hardcore,0,band
1995,hardcore,0,band
1996,hardcore,0,band
1997,hardcore,0.5,band
1998,hardcore,0,band
1999,hardcore,0,band
2000,hardcore,0.5,band
2001,hardcore,0.5,band
2002,hardcore,0,band
2003,hardcore,0,band
2004,hardcore,0.5,band
2005,hardcore,0,band
2006,hardcore,0,band
2007,hardcore,0,band
2008,hardcore,0,band
2009,hardcore,0,band
2010,hardcore,0,band
2011,hardcore,0,band
2012,hardcore,0,band
2013,hardcore,0,band
2014,hardcore,0,band
1988,hardcore punk,0,band
1989,hardcore punk,0,band
1990,hardcore punk,0,band
1991,hardcore punk,0,band
1992,hardcore punk,0,band
1993,hardcore punk,0,band
1994,hardcore punk,0,band
1995,hardcore punk,0,band
1996,hardcore punk,0,band
1997,hardcore punk,0,band
1998,hardcore punk,0,band
1999,hardcore punk,0.5,band
2000,hardcore punk,0,band
2001,hardcore punk,0,band
2002,hardcore punk,0,band
2003,hardcore punk,0,band
2004,hardcore punk,0,band
2005,hardcore punk,0,band
2006,hardcore punk,0.5,band
2007,hardcore punk,0,band
2008,hardcore punk,0,band
2009,hardcore punk,0,band
2010,hardcore punk,0,band
2011,hardcore punk,0,band
2012,hardcore punk,0,band
2013,hardcore punk,0,band
2014,hardcore punk,0,band
1988,heavy metal,1,band
1989,heavy metal,1,band
1990,heavy metal,0,band
1991,heavy metal,1,band
1992,heavy metal,1,band
1993,heavy metal,1,band
1994,heavy metal,1,band
1995,heavy metal,0,band
1996,heavy metal,1,band
1997,heavy metal,0.5,band
1998,heavy metal,1.5,band
1999,heavy metal,0,band
2000,heavy metal,0,band
2001,heavy metal,0,band
2002,heavy metal,0,band
2003,heavy metal,0,band
2004,heavy metal,0,band
2005,heavy metal,0,band
2006,heavy metal,0,band
2007,heavy metal,0,band
2008,heavy metal,0,band
2009,heavy metal,0,band
2010,heavy metal,0,band
2011,heavy metal,0,band
2012,heavy metal,0,band
2013,heavy metal,0,band
2014,heavy metal,0,band
1988,indie rock,0,band
1989,indie rock,0,band
1990,indie rock,0,band
1991,indie rock,2,band
1992,indie rock,0,band
1993,indie rock,1,band
1994,indie rock,0,band
1995,indie rock,0,band
1996,indie rock,0,band
1997,indie rock,1,band
1998,indie rock,0,band
1999,indie rock,0.5,band
2000,indie rock,0.5,band
2001,indie rock,0,band
2002,indie rock,0,band
2003,indie rock,0,band
2004,indie rock,0.5,band
2005,indie rock,0.5,band
2006,indie rock,2,band
2007,indie rock,1,band
2008,indie rock,1,band
2009,indie rock,1,band
2010,indie rock,2.5,band
2011,indie rock,0.5,band
2012,indie rock,2.5,band
2013,indie rock,4,band
2014,indie rock,3.5,band
1988,jazz,2,band
1989,jazz,2,band
1990,jazz,0,band
1991,jazz,0,band
1992,jazz,0,band
1993,jazz,0,band
1994,jazz,1,band
1995,jazz,3,band
1996,jazz,0,band
1997,jazz,0.5,band
1998,jazz,0.5,band
1999,jazz,0,band
2000,jazz,0,band
2001,jazz,0,band
2002,jazz,0,band
2003,jazz,0.5,band
2004,jazz,0.5,band
2005,jazz,0,band
2006,jazz,0.5,band
2007,jazz,0.5,band
2008,jazz,0,band
2009,jazz,0,band
2010,jazz,0.5,band
2011,jazz,0,band
2012,jazz,0.5,band
2013,jazz,0,band
2014,jazz,0,band
1988,jazz fusion,0,band
1989,jazz fusion,0,band
1990,jazz fusion,0,band
1991,jazz fusion,0,band
1992,jazz fusion,0,band
1993,jazz fusion,0,band
1994,jazz fusion,0,band
1995,jazz fusion,0,band
1996,jazz fusion,0,band
1997,jazz fusion,0,band
1998,jazz fusion,0,band
1999,jazz fusion,0.5,band
2000,jazz fusion,0,band
2001,jazz fusion,0,band
2002,jazz fusion,0,band
2003,jazz fusion,0,band
2004,jazz fusion,0,band
2005,jazz fusion,0,band
2006,jazz fusion,0.5,band
2007,jazz fusion,0.5,band
2008,jazz fusion,0.5,band
2009,jazz fusion,0,band
2010,jazz fusion,0,band
2011,jazz fusion,0,band
2012,jazz fusion,0,band
2013,jazz fusion,0,band
2014,jazz fusion,0,band
1988,melodic rock,0,band
1989,melodic rock,0,band
1990,melodic rock,0,band
1991,melodic rock,1,band
1992,melodic rock,0,band
1993,melodic rock,0,band
1994,melodic rock,0,band
1995,melodic rock,0,band
1996,melodic rock,0,band
1997,melodic rock,0,band
1998,melodic rock,0,band
1999,melodic rock,0,band
2000,melodic rock,0,band
2001,melodic rock,0,band
2002,melodic rock,0,band
2003,melodic rock,0,band
2004,melodic rock,0,band
2005,melodic rock,0,band
2006,melodic rock,0,band
2007,melodic rock,0,band
2008,melodic rock,0,band
2009,melodic rock,0,band
2010,melodic rock,0,band
2011,melodic rock,0,band
2012,melodic rock,0,band
2013,melodic rock,0,band
2014,melodic rock,0,band
1988,metal,0,band
1989,metal,0,band
1990,metal,0,band
1991,metal,0,band
1992,metal,0,band
1993,metal,0,band
1994,metal,0,band
1995,metal,0,band
1996,metal,0,band
1997,metal,0.5,band
1998,metal,0,band
1999,metal,0,band
2000,metal,0,band
2001,metal,0,band
2002,metal,0.5,band
2003,metal,0,band
2004,metal,0,band
2005,metal,0,band
2006,metal,0,band
2007,metal,0,band
2008,metal,0,band
2009,metal,0,band
2010,metal,0,band
2011,metal,0,band
2012,metal,0,band
2013,metal,0,band
2014,metal,0,band
1988,motown,0,band
1989,motown,0,band
1990,motown,0,band
1991,motown,0,band
1992,motown,0,band
1993,motown,0,band
1994,motown,0,band
1995,motown,0,band
1996,motown,0,band
1997,motown,1,band
1998,motown,0.5,band
1999,motown,1.5,band
2000,motown,0.5,band
2001,motown,0.5,band
2002,motown,0,band
2003,motown,0,band
2004,motown,0.5,band
2005,motown,0,band
2006,motown,0,band
2007,motown,0,band
2008,motown,0,band
2009,motown,0,band
2010,motown,0,band
2011,motown,0,band
2012,motown,0,band
2013,motown,0,band
2014,motown,0,band
1988,new wave,2,band
1989,new wave,2,band
1990,new wave,4,band
1991,new wave,0,band
1992,new wave,0,band
1993,new wave,1,band
1994,new wave,1,band
1995,new wave,0,band
1996,new wave,0,band
1997,new wave,0,band
1998,new wave,0,band
1999,new wave,0,band
2000,new wave,0,band
2001,new wave,0,band
2002,new wave,0.5,band
2003,new wave,0,band
2004,new wave,0,band
2005,new wave,0,band
2006,new wave,0,band
2007,new wave,0,band
2008,new wave,0,band
2009,new wave,0,band
2010,new wave,0,band
2011,new wave,0,band
2012,new wave,0,band
2013,new wave,0,band
2014,new wave,0,band
1988,nu metal,0,band
1989,nu metal,0,band
1990,nu metal,0,band
1991,nu metal,0,band
1992,nu metal,0,band
1993,nu metal,0,band
1994,nu metal,0,band
1995,nu metal,0,band
1996,nu metal,0,band
1997,nu metal,0,band
1998,nu metal,0,band
1999,nu metal,1,band
2000,nu metal,0.5,band
2001,nu metal,1,band
2002,nu metal,1.5,band
2003,nu metal,1,band
2004,nu metal,0.5,band
2005,nu metal,0.5,band
2006,nu metal,0,band
2007,nu metal,0.5,band
2008,nu metal,0.5,band
2009,nu metal,0.5,band
2010,nu metal,0,band
2011,nu metal,0,band
2012,nu metal,0,band
2013,nu metal,0,band
2014,nu metal,0,band
1988,pop punk,0,band
1989,pop punk,0,band
1990,pop punk,0,band
1991,pop punk,0,band
1992,pop punk,0,band
1993,pop punk,0,band
1994,pop punk,0,band
1995,pop punk,0,band
1996,pop punk,0,band
1997,pop punk,0,band
1998,pop punk,0,band
1999,pop punk,0,band
2000,pop punk,0,band
2001,pop punk,0,band
2002,pop punk,0,band
2003,pop punk,0,band
2004,pop punk,0,band
2005,pop punk,0,band
2006,pop punk,0.5,band
2007,pop punk,1.5,band
2008,pop punk,1,band
2009,pop punk,0.5,band
2010,pop punk,0.5,band
2011,pop punk,0.5,band
2012,pop punk,0,band
2013,pop punk,0,band
2014,pop punk,1,band
1988,post-punk,1,band
1989,post-punk,1,band
1990,post-punk,0,band
1991,post-punk,1,band
1992,post-punk,0,band
1993,post-punk,0,band
1994,post-punk,0,band
1995,post-punk,2,band
1996,post-punk,0,band
1997,post-punk,0.5,band
1998,post-punk,1,band
1999,post-punk,0,band
2000,post-punk,0.5,band
2001,post-punk,0.5,band
2002,post-punk,0,band
2003,post-punk,0,band
2004,post-punk,0,band
2005,post-punk,0,band
2006,post-punk,0,band
2007,post-punk,0,band
2008,post-punk,0,band
2009,post-punk,0,band
2010,post-punk,0,band
2011,post-punk,0,band
2012,post-punk,0,band
2013,post-punk,0,band
2014,post-punk,0,band
1988,pub rock,0,band
1989,pub rock,0,band
1990,pub rock,0,band
1991,pub rock,0,band
1992,pub rock,0,band
1993,pub rock,0,band
1994,pub rock,0,band
1995,pub rock,0,band
1996,pub rock,0,band
1997,pub rock,0,band
1998,pub rock,0.5,band
1999,pub rock,0,band
2000,pub rock,0,band
2001,pub rock,0,band
2002,pub rock,0,band
2003,pub rock,0,band
2004,pub rock,0.5,band
2005,pub rock,0,band
2006,pub rock,0,band
2007,pub rock,0,band
2008,pub rock,0,band
2009,pub rock,0,band
2010,pub rock,0,band
2011,pub rock,0,band
2012,pub rock,0,band
2013,pub rock,0,band
2014,pub rock,0,band
1988,punk,0,band
1989,punk,0,band
1990,punk,1,band
1991,punk,0,band
1992,punk,0,band
1993,punk,0,band
1994,punk,1,band
1995,punk,2,band
1996,punk,1,band
1997,punk,1,band
1998,punk,2.5,band
1999,punk,1.5,band
2000,punk,1.5,band
2001,punk,0.5,band
2002,punk,0,band
2003,punk,0,band
2004,punk,1,band
2005,punk,1,band
2006,punk,1,band
2007,punk,0,band
2008,punk,0.5,band
2009,punk,1,band
2010,punk,0,band
2011,punk,0,band
2012,punk,0,band
2013,punk,0,band
2014,punk,0,band
1988,rap metal,0,band
1989,rap metal,0,band
1990,rap metal,0,band
1991,rap metal,0,band
1992,rap metal,0,band
1993,rap metal,1,band
1994,rap metal,0,band
1995,rap metal,0,band
1996,rap metal,0,band
1997,rap metal,0,band
1998,rap metal,0,band
1999,rap metal,0,band
2000,rap metal,0,band
2001,rap metal,0,band
2002,rap metal,0,band
2003,rap metal,0,band
2004,rap metal,0,band
2005,rap metal,0,band
2006,rap metal,0,band
2007,rap metal,0,band
2008,rap metal,0,band
2009,rap metal,0,band
2010,rap metal,0,band
2011,rap metal,0,band
2012,rap metal,0,band
2013,rap metal,0,band
2014,rap metal,0,band
1988,reggae,0,band
1989,reggae,0,band
1990,reggae,1,band
1991,reggae,1,band
1992,reggae,0,band
1993,reggae,5,band
1994,reggae,1,band
1995,reggae,2,band
1996,reggae,3,band
1997,reggae,0.5,band
1998,reggae,0,band
1999,reggae,0,band
2000,reggae,0,band
2001,reggae,1.5,band
2002,reggae,0.5,band
2003,reggae,1,band
2004,reggae,0.5,band
2005,reggae,0,band
2006,reggae,0.5,band
2007,reggae,0.5,band
2008,reggae,0,band
2009,reggae,0,band
2010,reggae,0.5,band
2011,reggae,0.5,band
2012,reggae,0,band
2013,reggae,0.5,band
2014,reggae,1,band
1988,rock,23,band
1989,rock,23,band
1990,rock,25,band
1991,rock,17,band
1992,rock,16,band
1993,rock,21,band
1994,rock,12,band
1995,rock,12,band
1996,rock,10,band
1997,rock,13.5,band
1998,rock,11.5,band
1999,rock,16,band
2000,rock,11,band
2001,rock,10.5,band
2002,rock,13,band
2003,rock,9.5,band
2004,rock,16,band
2005,rock,12.5,band
2006,rock,14.5,band
2007,rock,20,band
2008,rock,16.5,band
2009,rock,15,band
2010,rock,8.5,band
2011,rock,6,band
2012,rock,7.5,band
2013,rock,5.5,band
2014,rock,4.5,band
1988,rockabilly,1,band
1989,rockabilly,1,band
1990,rockabilly,0,band
1991,rockabilly,0,band
1992,rockabilly,0,band
1993,rockabilly,0,band
1994,rockabilly,0,band
1995,rockabilly,1,band
1996,rockabilly,0,band
1997,rockabilly,0,band
1998,rockabilly,0,band
1999,rockabilly,0.5,band
2000,rockabilly,0,band
2001,rockabilly,0,band
2002,rockabilly,0,band
2003,rockabilly,0,band
2004,rockabilly,0,band
2005,rockabilly,0,band
2006,rockabilly,0,band
2007,rockabilly,0,band
2008,rockabilly,0,band
2009,rockabilly,0,band
2010,rockabilly,0,band
2011,rockabilly,0,band
2012,rockabilly,0,band
2013,rockabilly,0,band
2014,rockabilly,0,band
1988,singer-songwriter,0,band
1989,singer-songwriter,0,band
1990,singer-songwriter,0,band
1991,singer-songwriter,1,band
1992,singer-songwriter,0,band
1993,singer-songwriter,0,band
1994,singer-songwriter,2,band
1995,singer-songwriter,2,band
1996,singer-songwriter,1,band
1997,singer-songwriter,0.5,band
1998,singer-songwriter,1.5,band
1999,singer-songwriter,0.5,band
2000,singer-songwriter,0.5,band
2001,singer-songwriter,1.5,band
2002,singer-songwriter,1.5,band
2003,singer-songwriter,1.5,band
2004,singer-songwriter,1.5,band
2005,singer-songwriter,4,band
2006,singer-songwriter,2.5,band
2007,singer-songwriter,2.5,band
2008,singer-songwriter,2,band
2009,singer-songwriter,1,band
2010,singer-songwriter,0.5,band
2011,singer-songwriter,0.5,band
2012,singer-songwriter,1.5,band
2013,singer-songwriter,1.5,band
2014,singer-songwriter,4.5,band
1988,ska,0,band
1989,ska,0,band
1990,ska,0,band
1991,ska,0,band
1992,ska,0,band
1993,ska,0,band
1994,ska,0,band
1995,ska,0,band
1996,ska,1,band
1997,ska,1,band
1998,ska,0.5,band
1999,ska,0,band
2000,ska,0.5,band
2001,ska,0,band
2002,ska,1,band
2003,ska,0,band
2004,ska,0.5,band
2005,ska,0,band
2006,ska,0,band
2007,ska,0,band
2008,ska,0,band
2009,ska,0,band
2010,ska,0,band
2011,ska,0,band
2012,ska,0,band
2013,ska,0,band
2014,ska,0,band
1988,soft rock,1,band
1989,soft rock,1,band
1990,soft rock,0,band
1991,soft rock,0,band
1992,soft rock,0,band
1993,soft rock,0,band
1994,soft rock,1,band
1995,soft rock,0,band
1996,soft rock,0,band
1997,soft rock,0,band
1998,soft rock,0,band
1999,soft rock,0,band
2000,soft rock,0,band
2001,soft rock,0,band
2002,soft rock,0,band
2003,soft rock,0,band
2004,soft rock,0,band
2005,soft rock,0,band
2006,soft rock,0,band
2007,soft rock,0,band
2008,soft rock,0.5,band
2009,soft rock,0,band
2010,soft rock,0.5,band
2011,soft rock,0,band
2012,soft rock,0,band
2013,soft rock,0,band
2014,soft rock,0,band
1988,surf music,0,band
1989,surf music,0,band
1990,surf music,0,band
1991,surf music,0,band
1992,surf music,0,band
1993,surf music,0,band
1994,surf music,0,band
1995,surf music,0,band
1996,surf music,1,band
1997,surf music,0,band
1998,surf music,0,band
1999,surf music,0,band
2000,surf music,0,band
2001,surf music,0,band
2002,surf music,0,band
2003,surf music,0,band
2004,surf music,0,band
2005,surf music,0,band
2006,surf music,0,band
2007,surf music,0,band
2008,surf music,0,band
2009,surf music,0,band
2010,surf music,0,band
2011,surf music,0,band
2012,surf music,0,band
2013,surf music,0,band
2014,surf music,0,band
1988,swing,0,band
1989,swing,0,band
1990,swing,0,band
1991,swing,0,band
1992,swing,0,band
1993,swing,0,band
1994,swing,0,band
1995,swing,0,band
1996,swing,0,band
1997,swing,0,band
1998,swing,0,band
1999,swing,0,band
2000,swing,0,band
2001,swing,0,band
2002,swing,0,band
2003,swing,0,band
2004,swing,0.5,band
2005,swing,0,band
2006,swing,0,band
2007,swing,0.5,band
2008,swing,0,band
2009,swing,0,band
2010,swing,0.5,band
2011,swing,0,band
2012,swing,0,band
2013,swing,0,band
2014,swing,0,band
1988,world,0,band
1989,world,0,band
1990,world,0,band
1991,world,1,band
1992,world,0,band
1993,world,0,band
1994,world,1,band
1995,world,0,band
1996,world,0,band
1997,world,0,band
1998,world,0,band
1999,world,0,band
2000,world,0,band
2001,world,0,band
2002,world,0,band
2003,world,0,band
2004,world,0,band
2005,world,0,band
2006,world,0,band
2007,world,0,band
2008,world,0,band
2009,world,0,band
2010,world,0,band
2011,world,0,band
2012,world,0,band
2013,world,0,band
2014,world,0,band
1988,ambient,1,electronic
1989,ambient,1,electronic
1990,ambient,0,electronic
1991,ambient,0,electronic
1992,ambient,0,electronic
1993,ambient,0,electronic
1994,ambient,0,electronic
