key,value,date,category
afrobeat,0,2010,A
afrobeat,0,2011,A
afropop,0,1993,A
afropop,1,1994,A
afropop,0,1995,A
afropop,1,1996,A
afropop,0,1997,A
afropop,0,1998,A
afropop,0,1999,A
afropop,0,2000,A
afropop,0,2001,A
afropop,0,2002,A
afropop,0,2003,A
afropop,0,2004,A
afropop,0,2005,A
afropop,0,2006,A
afropop,0,2007,A
afropop,0,2008,A
afropop,0,2009,A
afropop,0,2010,A
afropop,0,2011,A
alternative,19,1993,A
alternative,20,1994,A
alternative,17,1995,A
alternative,25,1996,A
alternative,23,1997,A
alternative,22,1998,A
alternative,15,1999,A
alternative,21,2000,A
alternative,19,2001,A
alternative,8,2002,A
alternative,19,2003,A
alternative,10,2004,A
alternative,7,2005,A
alternative,10,2006,A
alternative,9,2007,A
alternative,7,2008,A
alternative,9,2009,A
alternative,13,2010,A
alternative,5,2011,A
alternative metal,0,1993,A
alternative metal,0,1994,A
alternative metal,1,1995,A
alternative metal,0,1996,A
alternative metal,2,1997,A
alternative metal,3,1998,A
alternative metal,2,1999,A
alternative metal,3,2000,A
alternative metal,1,2001,A
alternative metal,4,2002,A
alternative metal,0,2003,A
alternative metal,2,2004,A
alternative metal,1,2005,A
alternative metal,0,2006,A
alternative metal,1,2007,A
alternative metal,0,2008,A
alternative metal,0,2009,A
alternative metal,0,2010,A
alternative metal,0,2011,A
ambient,0,1993,B
ambient,0,1994,B
ambient,1,1995,B
ambient,0,1996,B
ambient,0,1997,B
ambient,0,1998,B
ambient,2,1999,B
ambient,1,2000,B
ambient,0,2001,B
ambient,1,2002,B
ambient,0,2003,B
ambient,0,2004,B
ambient,0,2005,B
ambient,0,2006,B
ambient,0,2007,B
ambient,1,2008,B
ambient,0,2009,B
ambient,1,2010,B
ambient,0,2011,B
americana,1,1993,A
americana,0,1994,A
americana,0,1995,A
americana,0,1996,A
americana,0,1997,A
americana,0,1998,A
americana,0,1999,A
americana,0,2000,A
americana,0,2001,A
americana,0,2002,A
americana,0,2003,A
americana,0,2004,A
americana,0,2005,A
americana,0,2006,A
americana,0,2007,A
americana,0,2008,A
americana,0,2009,A
americana,0,2010,A
americana,0,2011,A
anti-folk,0,1993,A
anti-folk,0,1994,A
anti-folk,0,1995,A
anti-folk,0,1996,A
anti-folk,0,1997,A
anti-folk,0,1998,A
anti-folk,0,1999,A
anti-folk,0,2000,A
anti-folk,0,2001,A
anti-folk,0,2002,A
anti-folk,0,2003,A
anti-folk,0,2004,A
anti-folk,0,2005,A
anti-folk,2,2006,A
anti-folk,2,2007,A
anti-folk,0,2008,A
anti-folk,2,2009,A
anti-folk,0,2010,A
anti-folk,0,2011,A
ballad,0,1993,A
ballad,0,1994,A
ballad,0,1995,A
ballad,0,1996,A
ballad,1,1997,A
ballad,0,1998,A
ballad,0,1999,A
ballad,0,2000,A
ballad,0,2001,A
ballad,0,2002,A
ballad,0,2003,A
ballad,0,2004,A
ballad,0,2005,A
ballad,0,2006,A
ballad,0,2007,A
ballad,0,2008,A
ballad,0,2009,A
ballad,0,2010,A
ballad,0,2011,A
big band,0,1993,A
big band,0,1994,A
big band,0,1995,A
big band,1,1996,A
big band,0,1997,A
big band,0,1998,A
big band,0,1999,A
big band,0,2000,A
big band,0,2001,A
big band,0,2002,A
big band,0,2003,A
big band,0,2004,A
big band,0,2005,A
big band,0,2006,A
big band,0,2007,A
big band,0,2008,A
big band,0,2009,A
big band,0,2010,A
big band,0,2011,A
big beat,0,1993,B
big beat,0,1994,B
big beat,0,1995,B
big beat,2,1996,B
big beat,1,1997,B
big beat,2,1998,B
big beat,3,1999,B
big beat,1,2000,B
big beat,2,2001,B
big beat,1,2002,B
big beat,1,2003,B
big beat,1,2004,B
big beat,1,2005,B
big beat,0,2006,B
big beat,2,2007,B
big beat,0,2008,B
big beat,0,2009,B
big beat,0,2010,B
big beat,0,2011,B
black metal,0,1993,A
black metal,0,1994,A
black metal,1,1995,A
black metal,0,1996,A
black metal,0,1997,A
black metal,0,1998,A
black metal,0,1999,A
black metal,0,2000,A
black metal,0,2001,A
black metal,0,2002,A
black metal,0,2003,A
black metal,0,2004,A
black metal,0,2005,A
black metal,0,2006,A
black metal,0,2007,A
black metal,0,2008,A
black metal,0,2009,A
black metal,0,2010,A
black metal,0,2011,A
bluegrass,0,1993,A
bluegrass,0,1994,A
bluegrass,0,1995,A
bluegrass,0,1996,A
bluegrass,0,1997,A
bluegrass,0,1998,A
bluegrass,0,1999,A
bluegrass,0,2000,A
bluegrass,0,2001,A
bluegrass,0,2002,A
bluegrass,1,2003,A
bluegrass,0,2004,A
bluegrass,0,2005,A
bluegrass,0,2006,A
bluegrass,0,2007,A
bluegrass,0,2008,A
bluegrass,2,2009,A
bluegrass,0,2010,A
bluegrass,0,2011,A
blues,3,1993,A
blues,3,1994,A
blues,1,1995,A
blues,4,1996,A
blues,2,1997,A
blues,1,1998,A
blues,4,1999,A
blues,3,2000,A
blues,2,2001,A
blues,2,2002,A
blues,7,2003,A
blues,3,2004,A
blues,3,2005,A
blues,1,2006,A
blues,1,2007,A
blues,1,2008,A
blues,1,2009,A
blues,2,2010,A
blues,1,2011,A
bounce,0,1993,C
bounce,0,1994,C
bounce,0,1995,C
bounce,0,1996,C
bounce,0,1997,C
bounce,0,1998,C
bounce,1,1999,C
bounce,0,2000,C
bounce,0,2001,C
bounce,0,2002,C
bounce,0,2003,C
bounce,0,2004,C
bounce,0,2005,C
bounce,0,2006,C
bounce,0,2007,C
bounce,0,2008,C
bounce,0,2009,C
bounce,0,2010,C
bounce,0,2011,C
breakbeat,0,1993,B
breakbeat,0,1994,B
breakbeat,0,1995,B
breakbeat,0,1996,B
breakbeat,0,1997,B
breakbeat,1,1998,B
breakbeat,0,1999,B
breakbeat,1,2000,B
breakbeat,0,2001,B
breakbeat,0,2002,B
breakbeat,0,2003,B
breakbeat,1,2004,B
breakbeat,0,2005,B
breakbeat,1,2006,B
breakbeat,0,2007,B
breakbeat,0,2008,B
breakbeat,0,2009,B
breakbeat,0,2010,B
breakbeat,0,2011,B
breakcore,0,1993,B
breakcore,0,1994,B
breakcore,1,1995,B
breakcore,0,1996,B
breakcore,0,1997,B
breakcore,0,1998,B
breakcore,0,1999,B
breakcore,0,2000,B
breakcore,0,2001,B
breakcore,0,2002,B
breakcore,0,2003,B
breakcore,0,2004,B
breakcore,0,2005,B
breakcore,0,2006,B
breakcore,0,2007,B
breakcore,0,2008,B
breakcore,0,2009,B
breakcore,0,2010,B
breakcore,0,2011,B
british pop,1,1993,A
british pop,2,1994,A
british pop,1,1995,A
british pop,0,1996,A
british pop,1,1997,A
british pop,0,1998,A
british pop,2,1999,A
british pop,0,2000,A
british pop,0,2001,A
british pop,0,2002,A
british pop,1,2003,A
british pop,0,2004,A
british pop,0,2005,A
british pop,0,2006,A
british pop,0,2007,A
british pop,0,2008,A
british pop,0,2009,A
british pop,0,2010,A
british pop,0,2011,A
club,0,1993,C
club,0,1994,C
club,0,1995,C
club,0,1996,C
club,0,1997,C
club,0,1998,C
club,0,1999,C
club,0,2000,C
club,0,2001,C
club,0,2002,C
club,0,2003,C
club,0,2004,C
club,0,2005,C
club,0,2006,C
club,0,2007,C
club,0,2008,C
club,0,2009,C
club,0,2010,C
club,1,2011,C
college rock,1,1993,A
college rock,0,1994,A
college rock,0,1995,A
college rock,0,1996,A
college rock,0,1997,A
college rock,0,1998,A
college rock,0,1999,A
college rock,0,2000,A
college rock,0,2001,A
college rock,0,2002,A
college rock,0,2003,A
college rock,0,2004,A
college rock,0,2005,A
college rock,0,2006,A
college rock,0,2007,A
college rock,0,2008,A
college rock,0,2009,A
college rock,0,2010,A
college rock,0,2011,A
comedy,2,1993,A
comedy,0,1994,A
comedy,2,1995,A
comedy,0,1996,A
comedy,2,1997,A
comedy,3,1998,A
comedy,1,1999,A
comedy,0,2000,A
comedy,0,2001,A
comedy,0,2002,A
comedy,0,2003,A
comedy,0,2004,A
comedy,2,2005,A
comedy,0,2006,A
comedy,0,2007,A
comedy,3,2008,A
comedy,3,2009,A
comedy,1,2010,A
comedy,0,2011,A
country,2,1993,A
country,2,1994,A
country,2,1995,A
country,1,1996,A
country,1,1997,A
country,0,1998,A
country,1,1999,A
country,0,2000,A
country,0,2001,A
country,0,2002,A
country,0,2003,A
country,0,2004,A
country,1,2005,A
country,1,2006,A
country,1,2007,A
country,0,2008,A
country,0,2009,A
country,0,2010,A
country,1,2011,A
cowpunk,0,1993,A
cowpunk,0,1994,A
cowpunk,1,1995,A
cowpunk,0,1996,A
cowpunk,0,1997,A
cowpunk,0,1998,A
cowpunk,0,1999,A
cowpunk,0,2000,A
cowpunk,0,2001,A
cowpunk,0,2002,A
cowpunk,0,2003,A
cowpunk,0,2004,A
cowpunk,0,2005,A
cowpunk,0,2006,A
cowpunk,0,2007,A
cowpunk,0,2008,A
cowpunk,0,2009,A
cowpunk,0,2010,A
cowpunk,0,2011,A
cyberpunk,0,1993,B
cyberpunk,0,1994,B
cyberpunk,0,1995,B
cyberpunk,0,1996,B
cyberpunk,1,1997,B
cyberpunk,0,1998,B
cyberpunk,0,1999,B
cyberpunk,0,2000,B
cyberpunk,0,2001,B
cyberpunk,0,2002,B
cyberpunk,0,2003,B
cyberpunk,0,2004,B
cyberpunk,0,2005,B
cyberpunk,0,2006,B
cyberpunk,0,2007,B
cyberpunk,0,2008,B
cyberpunk,0,2009,B
cyberpunk,0,2010,B
cyberpunk,0,2011,B
dance,4,1993,B
dance,4,1994,B
dance,3,1995,B
dance,1,1996,B
dance,2,1997,B
dance,2,1998,B
dance,5,1999,B
dance,7,2000,B
dance,8,2001,B
dance,4,2002,B
dance,3,2003,B
dance,4,2004,B
dance,0,2005,B
dance,2,2006,B
dance,2,2007,B
dance,12,2008,B
dance,11,2009,B
dance,13,2010,B
dance,7,2011,B
dance pop,0,1993,B
dance pop,1,1994,B
dance pop,0,1995,B
dance pop,0,1996,B
dance pop,1,1997,B
dance pop,0,1998,B
dance pop,0,1999,B
dance pop,0,2000,B
dance pop,0,2001,B
dance pop,0,2002,B
dance pop,0,2003,B
dance pop,0,2004,B
dance pop,0,2005,B
dance pop,0,2006,B
dance pop,2,2007,B
dance pop,1,2008,B
dance pop,0,2009,B
dance pop,0,2010,B
dance pop,0,2011,B
dancehall,1,1993,C
dancehall,1,1994,C
dancehall,1,1995,C
dancehall,0,1996,C
dancehall,0,1997,C
dancehall,0,1998,C
dancehall,0,1999,C
dancehall,0,2000,C
dancehall,0,2001,C
dancehall,0,2002,C
dancehall,0,2003,C
dancehall,0,2004,C
dancehall,0,2005,C
dancehall,0,2006,C
dancehall,0,2007,C
dancehall,0,2008,C
dancehall,0,2009,C
dancehall,0,2010,C
dancehall,0,2011,C
deep house,0,1993,B
deep house,0,1994,B
deep house,0,1995,B
deep house,0,1996,B
deep house,0,1997,B
deep house,0,1998,B
deep house,1,1999,B
deep house,0,2000,B
deep house,0,2001,B
deep house,0,2002,B
deep house,0,2003,B
deep house,0,2004,B
deep house,0,2005,B
deep house,0,2006,B
deep house,0,2007,B
deep house,0,2008,B
deep house,0,2009,B
deep house,0,2010,B
deep house,0,2011,B
disco,2,1993,B
disco,1,1994,B
disco,0,1995,B
disco,0,1996,B
disco,0,1997,B
disco,0,1998,B
disco,0,1999,B
disco,0,2000,B
disco,1,2001,B
disco,0,2002,B
disco,2,2003,B
disco,0,2004,B
disco,0,2005,B
disco,1,2006,B
disco,1,2007,B
disco,0,2008,B
disco,3,2009,B
disco,0,2010,B
disco,3,2011,B
disco house,0,1993,B
disco house,0,1994,B
disco house,0,1995,B
disco house,0,1996,B
disco house,0,1997,B
disco house,0,1998,B
disco house,0,1999,B
disco house,0,2000,B
disco house,0,2001,B
disco house,0,2002,B
disco house,0,2003,B
disco house,0,2004,B
disco house,0,2005,B
disco house,0,2006,B
disco house,0,2007,B
disco house,0,2008,B
disco house,0,2009,B
disco house,1,2010,B
disco house,0,2011,B
downtempo,0,1993,B
downtempo,1,1994,B
downtempo,0,1995,B
downtempo,0,1996,B
downtempo,0,1997,B
downtempo,0,1998,B
downtempo,0,1999,B
downtempo,0,2000,B
downtempo,0,2001,B
downtempo,0,2002,B
downtempo,0,2003,B
downtempo,1,2004,B
downtempo,0,2005,B
downtempo,0,2006,B
downtempo,0,2007,B
downtempo,0,2008,B
downtempo,2,2009,B
downtempo,2,2010,B
downtempo,2,2011,B
dream pop,0,1993,A
dream pop,0,1994,A
dream pop,0,1995,A
dream pop,0,1996,A
dream pop,1,1997,A
dream pop,0,1998,A
dream pop,0,1999,A
dream pop,0,2000,A
dream pop,0,2001,A
dream pop,0,2002,A
dream pop,0,2003,A
dream pop,0,2004,A
dream pop,0,2005,A
dream pop,0,2006,A
dream pop,0,2007,A
dream pop,0,2008,A
dream pop,0,2009,A
dream pop,0,2010,A
dream pop,0,2011,A
drum and bass,0,1993,B
drum and bass,0,1994,B
drum and bass,0,1995,B
drum and bass,0,1996,B
drum and bass,0,1997,B
drum and bass,0,1998,B
drum and bass,0,1999,B
drum and bass,0,2000,B
drum and bass,0,2001,B
drum and bass,0,2002,B
drum and bass,0,2003,B
drum and bass,0,2004,B
drum and bass,0,2005,B
drum and bass,0,2006,B
drum and bass,0,2007,B
drum and bass,0,2008,B
drum and bass,0,2009,B
drum and bass,0,2010,B
drum and bass,0,2011,B
dub,0,1993,C
dub,0,1994,C
dub,0,1995,C
dub,0,1996,C
dub,0,1997,C
dub,0,1998,C
dub,0,1999,C
dub,0,2000,C
dub,1,2001,C
dub,0,2002,C
dub,2,2003,C
dub,0,2004,C
dub,0,2005,C
dub,0,2006,C
dub,0,2007,C
dub,0,2008,C
dub,0,2009,C
dub,0,2010,C
dub,1,2011,C
dubstep,0,1993,B
dubstep,0,1994,B
dubstep,0,1995,B
dubstep,0,1996,B
dubstep,0,1997,B
dubstep,0,1998,B
dubstep,0,1999,B
dubstep,0,2000,B
dubstep,0,2001,B
dubstep,0,2002,B
dubstep,0,2003,B
dubstep,0,2004,B
dubstep,0,2005,B
dubstep,0,2006,B
dubstep,0,2007,B
dubstep,0,2008,B
dubstep,0,2009,B
dubstep,0,2010,B
dubstep,6,2011,B
edm,0,1993,B
edm,0,1994,B
edm,0,1995,B
edm,0,1996,B
edm,0,1997,B
edm,0,1998,B
edm,0,1999,B
edm,0,2000,B
edm,0,2001,B
edm,0,2002,B
edm,0,2003,B
edm,0,2004,B
edm,0,2005,B
edm,0,2006,B
edm,0,2007,B
edm,0,2008,B
edm,0,2009,B
edm,0,2010,B
edm,0,2011,B
electro,0,1993,B
electro,0,1994,B
electro,0,1995,B
electro,0,1996,B
electro,0,1997,B
electro,0,1998,B
electro,0,1999,B
electro,0,2000,B
electro,0,2001,B
electro,0,2002,B
electro,1,2003,B
electro,0,2004,B
electro,0,2005,B
electro,0,2006,B
electro,1,2007,B
electro,0,2008,B
electro,4,2009,B
electro,1,2010,B
electro,1,2011,B
electro house,0,1993,B
electro house,0,1994,B
electro house,0,1995,B
electro house,0,1996,B
electro house,0,1997,B
electro house,0,1998,B
electro house,0,1999,B
electro house,0,2000,B
electro house,0,2001,B
electro house,0,2002,B
electro house,0,2003,B
electro house,0,2004,B
electro house,0,2005,B
electro house,0,2006,B
electro house,0,2007,B
electro house,0,2008,B
electro house,0,2009,B
electro house,0,2010,B
electro house,0,2011,B
electroclash,0,1993,B
electroclash,0,1994,B
electroclash,0,1995,B
electroclash,0,1996,B
electroclash,0,1997,B
electroclash,0,1998,B
electroclash,0,1999,B
electroclash,0,2000,B
electroclash,0,2001,B
electroclash,0,2002,B
electroclash,1,2003,B
electroclash,0,2004,B
electroclash,0,2005,B
electroclash,0,2006,B
electroclash,0,2007,B
electroclash,0,2008,B
electroclash,0,2009,B
electroclash,0,2010,B
electroclash,0,2011,B
electronic,5,1993,B
electronic,4,1994,B
electronic,5,1995,B
electronic,4,1996,B
electronic,6,1997,B
electronic,3,1998,B
electronic,2,1999,B
electronic,3,2000,B
electronic,9,2001,B
electronic,2,2002,B
electronic,4,2003,B
electronic,1,2004,B
electronic,0,2005,B
electronic,5,2006,B
electronic,2,2007,B
electronic,8,2008,B
electronic,3,2009,B
electronic,12,2010,B
electronic,12,2011,B
electronica,0,1993,B
electronica,4,1994,B
electronica,2,1995,B
electronica,7,1996,B
electronica,4,1997,B
electronica,2,1998,B
electronica,4,1999,B
electronica,3,2000,B
electronica,3,2001,B
electronica,2,2002,B
electronica,2,2003,B
electronica,2,2004,B
electronica,1,2005,B
electronica,3,2006,B
electronica,5,2007,B
electronica,2,2008,B
electronica,1,2009,B
electronica,5,2010,B
electronica,0,2011,B
electropop,0,1993,B
electropop,0,1994,B
electropop,1,1995,B
electropop,0,1996,B
electropop,0,1997,B
electropop,0,1998,B
electropop,0,1999,B
electropop,0,2000,B
electropop,0,2001,B
electropop,0,2002,B
electropop,0,2003,B
electropop,0,2004,B
electropop,0,2005,B
electropop,0,2006,B
electropop,2,2007,B
electropop,2,2008,B
electropop,6,2009,B
electropop,1,2010,B
electropop,1,2011,B
emo,0,1993,A
emo,0,1994,A
emo,0,1995,A
emo,0,1996,A
emo,0,1997,A
emo,0,1998,A
emo,0,1999,A
emo,0,2000,A
emo,3,2001,A
emo,0,2002,A
emo,2,2003,A
emo,0,2004,A
emo,0,2005,A
emo,4,2006,A
emo,1,2007,A
emo,0,2008,A
emo,0,2009,A
emo,0,2010,A
emo,0,2011,A
eurodance,1,1993,B
eurodance,0,1994,B
eurodance,0,1995,B
eurodance,0,1996,B
eurodance,0,1997,B
eurodance,0,1998,B
eurodance,0,1999,B
eurodance,0,2000,B
eurodance,0,2001,B
eurodance,0,2002,B
eurodance,0,2003,B
eurodance,0,2004,B
eurodance,0,2005,B
eurodance,0,2006,B
eurodance,0,2007,B
eurodance,0,2008,B
eurodance,0,2009,B
eurodance,0,2010,B
eurodance,0,2011,B
experimental,2,1993,B
experimental,1,1994,B
experimental,3,1995,B
experimental,1,1996,B
experimental,0,1997,B
experimental,0,1998,B
experimental,0,1999,B
experimental,0,2000,B
experimental,0,2001,B
experimental,0,2002,B
experimental,0,2003,B
experimental,1,2004,B
experimental,0,2005,B
experimental,0,2006,B
experimental,0,2007,B
experimental,1,2008,B
experimental,0,2009,B
experimental,0,2010,B
experimental,0,2011,B
folk,2,1993,A
folk,3,1994,A
folk,4,1995,A
folk,0,1996,A
folk,1,1997,A
folk,2,1998,A
folk,0,1999,A
folk,3,2000,A
folk,2,2001,A
folk,6,2002,A
folk,6,2003,A
folk,8,2004,A
folk,3,2005,A
folk,3,2006,A
folk,9,2007,A
folk,7,2008,A
folk,11,2009,A
folk,7,2010,A
folk,16,2011,A
folk rock,0,1993,A
folk rock,0,1994,A
folk rock,0,1995,A
folk rock,0,1996,A
folk rock,0,1997,A
folk rock,0,1998,A
folk rock,0,1999,A
folk rock,0,2000,A
folk rock,0,2001,A
folk rock,3,2002,A
folk rock,2,2003,A
folk rock,1,2004,A
folk rock,0,2005,A
folk rock,0,2006,A
folk rock,1,2007,A
folk rock,0,2008,A
folk rock,0,2009,A
folk rock,0,2010,A
folk rock,1,2011,A
folk-pop,0,1993,A
folk-pop,1,1994,A
folk-pop,0,1995,A
folk-pop,1,1996,A
folk-pop,0,1997,A
folk-pop,0,1998,A
folk-pop,0,1999,A
folk-pop,0,2000,A
folk-pop,0,2001,A
folk-pop,0,2002,A
folk-pop,0,2003,A
folk-pop,0,2004,A
folk-pop,0,2005,A
folk-pop,0,2006,A
folk-pop,1,2007,A
folk-pop,1,2008,A
folk-pop,0,2009,A
folk-pop,0,2010,A
folk-pop,0,2011,A
french house,0,1993,B
french house,0,1994,B
french house,0,1995,B
french house,0,1996,B
french house,0,1997,B
french house,1,1998,B
french house,0,1999,B
french house,0,2000,B
french house,1,2001,B
french house,0,2002,B
french house,0,2003,B
french house,0,2004,B
french house,0,2005,B
french house,0,2006,B
french house,0,2007,B
french house,0,2008,B
french house,0,2009,B
french house,0,2010,B
french house,0,2011,B
french pop,0,1993,A
french pop,0,1994,A
french pop,0,1995,A
french pop,0,1996,A
french pop,0,1997,A
french pop,0,1998,A
french pop,0,1999,A
french pop,0,2000,A
french pop,0,2001,A
french pop,0,2002,A
french pop,0,2003,A
french pop,0,2004,A
french pop,0,2005,A
french pop,1,2006,A
french pop,0,2007,A
french pop,0,2008,A
french pop,0,2009,A
french pop,0,2010,A
french pop,0,2011,A
funk,2,1993,A
funk,1,1994,A
funk,5,1995,A
funk,1,1996,A
funk,3,1997,A
funk,0,1998,A
funk,5,1999,A
funk,5,2000,A
funk,3,2001,A
funk,7,2002,A
funk,3,2003,A
funk,1,2004,A
funk,0,2005,A
funk,1,2006,A
funk,0,2007,A
funk,2,2008,A
funk,2,2009,A
funk,2,2010,A
funk,1,2011,A
garage rock,0,1993,A
garage rock,0,1994,A
garage rock,0,1995,A
garage rock,0,1996,A
garage rock,0,1997,A
garage rock,0,1998,A
garage rock,0,1999,A
garage rock,0,2000,A
garage rock,3,2001,A
garage rock,4,2002,A
garage rock,2,2003,A
garage rock,2,2004,A
garage rock,1,2005,A
garage rock,2,2006,A
garage rock,0,2007,A
garage rock,1,2008,A
garage rock,0,2009,A
garage rock,0,2010,A
garage rock,2,2011,A
gothic rock,0,1993,A
gothic rock,0,1994,A
gothic rock,0,1995,A
gothic rock,1,1996,A
gothic rock,0,1997,A
gothic rock,0,1998,A
gothic rock,0,1999,A
gothic rock,0,2000,A
gothic rock,0,2001,A
gothic rock,0,2002,A
gothic rock,0,2003,A
gothic rock,1,2004,A
gothic rock,0,2005,A
gothic rock,0,2006,A
gothic rock,0,2007,A
gothic rock,0,2008,A
gothic rock,0,2009,A
gothic rock,0,2010,A
gothic rock,0,2011,A
grime,0,1993,C
grime,0,1994,C
grime,0,1995,C
grime,0,1996,C
grime,0,1997,C
grime,0,1998,C
grime,0,1999,C
grime,0,2000,C
grime,0,2001,C
grime,0,2002,C
grime,0,2003,C
grime,0,2004,C
grime,0,2005,C
grime,1,2006,C
grime,0,2007,C
grime,3,2008,C
grime,1,2009,C
grime,1,2010,C
grime,0,2011,C
grindcore,0,1993,A
grindcore,0,1994,A
grindcore,0,1995,A
grindcore,0,1996,A
grindcore,0,1997,A
grindcore,0,1998,A
grindcore,0,1999,A
grindcore,0,2000,A
grindcore,1,2001,A
grindcore,0,2002,A
grindcore,0,2003,A
grindcore,0,2004,A
grindcore,0,2005,A
grindcore,0,2006,A
grindcore,0,2007,A
grindcore,0,2008,A
grindcore,0,2009,A
grindcore,0,2010,A
grindcore,0,2011,A
grunge,7,1993,A
grunge,13,1994,A
grunge,7,1995,A
grunge,12,1996,A
grunge,5,1997,A
grunge,9,1998,A
grunge,7,1999,A
grunge,5,2000,A
grunge,0,2001,A
grunge,11,2002,A
grunge,0,2003,A
grunge,0,2004,A
grunge,2,2005,A
grunge,2,2006,A
grunge,5,2007,A
grunge,0,2008,A
grunge,1,2009,A
grunge,0,2010,A
grunge,2,2011,A
hard rock,2,1993,A
hard rock,1,1994,A
hard rock,2,1995,A
hard rock,1,1996,A
hard rock,3,1997,A
hard rock,2,1998,A
hard rock,0,1999,A
hard rock,2,2000,A
hard rock,0,2001,A
hard rock,7,2002,A
hard rock,5,2003,A
hard rock,4,2004,A
hard rock,9,2005,A
hard rock,7,2006,A
hard rock,3,2007,A
hard rock,1,2008,A
hard rock,2,2009,A
hard rock,0,2010,A
hard rock,0,2011,A
hardcore,0,1993,A
hardcore,0,1994,A
hardcore,0,1995,A
hardcore,0,1996,A
hardcore,0,1997,A
hardcore,0,1998,A
hardcore,0,1999,A
hardcore,0,2000,A
hardcore,0,2001,A
hardcore,0,2002,A
hardcore,0,2003,A
hardcore,0,2004,A
hardcore,0,2005,A
hardcore,0,2006,A
hardcore,0,2007,A
hardcore,0,2008,A
hardcore,0,2009,A
hardcore,1,2010,A
hardcore,1,2011,A
heavy metal,1,1993,A
heavy metal,0,1994,A
heavy metal,3,1995,A
heavy metal,2,1996,A
heavy metal,3,1997,A
heavy metal,3,1998,A
heavy metal,1,1999,A
heavy metal,2,2000,A
heavy metal,0,2001,A
heavy metal,1,2002,A
heavy metal,1,2003,A
heavy metal,0,2004,A
heavy metal,1,2005,A
heavy metal,0,2006,A
heavy metal,0,2007,A
heavy metal,1,2008,A
heavy metal,0,2009,A
heavy metal,0,2010,A
heavy metal,0,2011,A
hip hop,6,1993,C
hip hop,3,1994,C
hip hop,1,1995,C
hip hop,3,1996,C
hip hop,0,1997,C
hip hop,6,1998,C
hip hop,0,1999,C
hip hop,1,2000,C
hip hop,0,2001,C
hip hop,10,2002,C
hip hop,9,2003,C
hip hop,6,2004,C
hip hop,5,2005,C
hip hop,11,2006,C
hip hop,6,2007,C
hip hop,12,2008,C
hip hop,6,2009,C
hip hop,13,2010,C
hip hop,9,2011,C
house,4,1993,B
house,1,1994,B
house,0,1995,B
house,0,1996,B
house,3,1997,B
house,1,1998,B
house,1,1999,B
house,3,2000,B
house,7,2001,B
house,3,2002,B
house,2,2003,B
house,4,2004,B
house,0,2005,B
house,1,2006,B
house,1,2007,B
house,0,2008,B
house,2,2009,B
house,3,2010,B
house,1,2011,B
indie,0,1993,A
indie,1,1994,A
indie,2,1995,A
indie,3,1996,A
indie,2,1997,A
indie,1,1998,A
indie,2,1999,A
indie,0,2000,A
indie,1,2001,A
indie,1,2002,A
indie,1,2003,A
indie,3,2004,A
indie,3,2005,A
